"","Nest","FoodTreatment","SexParent","ArrivalTime","SiblingNegotiation","BroodSize","NegPerChick","logBroodSize"
"1","AutavauxTV","Deprived","Male",22.25,4,5,0.8,1.6094379124341
"2","AutavauxTV","Satiated","Male",22.38,0,5,0,1.6094379124341
"3","AutavauxTV","Deprived","Male",22.53,2,5,0.4,1.6094379124341
"4","AutavauxTV","Deprived","Male",22.56,2,5,0.4,1.6094379124341
"5","AutavauxTV","Deprived","Male",22.61,2,5,0.4,1.6094379124341
"6","AutavauxTV","Deprived","Male",22.65,2,5,0.4,1.6094379124341
"7","AutavauxTV","Deprived","Male",22.76,18,5,3.6,1.6094379124341
"8","AutavauxTV","Satiated","Female",22.9,4,5,0.8,1.6094379124341
"9","AutavauxTV","Deprived","Male",22.98,18,5,3.6,1.6094379124341
"10","AutavauxTV","Satiated","Female",23.07,0,5,0,1.6094379124341
"11","AutavauxTV","Satiated","Female",23.18,0,5,0,1.6094379124341
"12","AutavauxTV","Deprived","Female",23.28,3,5,0.6,1.6094379124341
"13","AutavauxTV","Satiated","Male",23.38,0,5,0,1.6094379124341
"14","AutavauxTV","Deprived","Male",23.43,3,5,0.6,1.6094379124341
"15","AutavauxTV","Deprived","Female",23.45,3,5,0.6,1.6094379124341
"16","AutavauxTV","Deprived","Male",23.68,6,5,1.2,1.6094379124341
"17","AutavauxTV","Deprived","Female",24,0,5,0,1.6094379124341
"18","AutavauxTV","Satiated","Male",24.21,4,5,0.8,1.6094379124341
"19","AutavauxTV","Deprived","Male",24.25,0,5,0,1.6094379124341
"20","AutavauxTV","Deprived","Male",24.58,7,5,1.4,1.6094379124341
"21","AutavauxTV","Deprived","Male",24.65,7,5,1.4,1.6094379124341
"22","AutavauxTV","Satiated","Male",24.95,0,5,0,1.6094379124341
"23","AutavauxTV","Satiated","Female",25.25,16,5,3.2,1.6094379124341
"24","AutavauxTV","Satiated","Male",25.75,7,5,1.4,1.6094379124341
"25","AutavauxTV","Deprived","Male",27.71,0,5,0,1.6094379124341
"26","AutavauxTV","Deprived","Female",27.85,7,5,1.4,1.6094379124341
"27","AutavauxTV","Deprived","Female",28.02,16,5,3.2,1.6094379124341
"28","AutavauxTV","Deprived","Male",28.82,5,5,1,1.6094379124341
"29","Bochet","Satiated","Female",22.81,3,4,0.75,1.38629436111989
"30","Bochet","Satiated","Male",23.2,2,4,0.5,1.38629436111989
"31","Bochet","Deprived","Male",23.22,13,4,3.25,1.38629436111989
"32","Bochet","Deprived","Female",23.23,13,4,3.25,1.38629436111989
"33","Bochet","Deprived","Male",23.33,22,4,5.5,1.38629436111989
"34","Bochet","Satiated","Male",23.36,2,4,0.5,1.38629436111989
"35","Bochet","Satiated","Female",23.4,2,4,0.5,1.38629436111989
"36","Bochet","Satiated","Male",23.45,2,4,0.5,1.38629436111989
"37","Bochet","Deprived","Male",23.46,22,4,5.5,1.38629436111989
"38","Bochet","Deprived","Female",23.5,12,4,3,1.38629436111989
"39","Bochet","Satiated","Female",23.51,0,4,0,1.38629436111989
"40","Bochet","Deprived","Female",23.53,12,4,3,1.38629436111989
"41","Bochet","Deprived","Male",23.78,12,4,3,1.38629436111989
"42","Bochet","Satiated","Male",23.88,0,4,0,1.38629436111989
"43","Bochet","Satiated","Female",23.95,0,4,0,1.38629436111989
"44","Bochet","Satiated","Female",24.35,0,4,0,1.38629436111989
"45","Bochet","Satiated","Female",24.45,0,4,0,1.38629436111989
"46","Bochet","Deprived","Male",26.3,0,4,0,1.38629436111989
"47","Bochet","Deprived","Male",26.43,0,4,0,1.38629436111989
"48","Bochet","Satiated","Male",27.1,0,4,0,1.38629436111989
"49","Bochet","Satiated","Male",27.33,0,4,0,1.38629436111989
"50","Bochet","Deprived","Male",27.55,0,4,0,1.38629436111989
"51","Bochet","Satiated","Male",27.98,0,4,0,1.38629436111989
"52","Champmartin","Deprived","Female",22.08,3,3,1,1.09861228866811
"53","Champmartin","Deprived","Female",22.36,0,3,0,1.09861228866811
"54","Champmartin","Satiated","Female",22.46,0,3,0,1.09861228866811
"55","Champmartin","Deprived","Female",22.62,10,3,3.33333333,1.09861228866811
"56","Champmartin","Deprived","Female",22.83,18,3,6,1.09861228866811
"57","Champmartin","Deprived","Female",22.98,18,3,6,1.09861228866811
"58","Champmartin","Deprived","Female",23.1,0,3,0,1.09861228866811
"59","Champmartin","Deprived","Female",23.15,0,3,0,1.09861228866811
"60","Champmartin","Deprived","Female",23.56,2,3,0.66666667,1.09861228866811
"61","Champmartin","Deprived","Female",23.73,2,3,0.66666667,1.09861228866811
"62","Champmartin","Deprived","Female",23.95,4,3,1.33333333,1.09861228866811
"63","Champmartin","Satiated","Female",24.1,0,3,0,1.09861228866811
"64","Champmartin","Satiated","Female",24.21,0,3,0,1.09861228866811
"65","Champmartin","Deprived","Female",24.53,3,3,1,1.09861228866811
"66","Champmartin","Deprived","Female",24.78,7,3,2.33333333,1.09861228866811
"67","Champmartin","Deprived","Female",24.93,7,3,2.33333333,1.09861228866811
"68","Champmartin","Deprived","Female",25.03,13,3,4.33333333,1.09861228866811
"69","Champmartin","Deprived","Female",25.28,16,3,5.33333333,1.09861228866811
"70","Champmartin","Deprived","Female",25.63,14,3,4.66666667,1.09861228866811
"71","Champmartin","Satiated","Female",25.71,0,3,0,1.09861228866811
"72","Champmartin","Deprived","Female",25.82,0,3,0,1.09861228866811
"73","Champmartin","Deprived","Female",26.6,0,3,0,1.09861228866811
"74","Champmartin","Satiated","Female",27.28,0,3,0,1.09861228866811
"75","Champmartin","Satiated","Female",27.4,0,3,0,1.09861228866811
"76","Champmartin","Satiated","Female",27.5,0,3,0,1.09861228866811
"77","Champmartin","Deprived","Female",27.66,0,3,0,1.09861228866811
"78","Champmartin","Satiated","Female",27.66,0,3,0,1.09861228866811
"79","Champmartin","Satiated","Female",27.91,0,3,0,1.09861228866811
"80","Champmartin","Deprived","Female",28.58,1,3,0.33333333,1.09861228866811
"81","Champmartin","Deprived","Female",29.23,3,3,1,1.09861228866811
"82","ChEsard","Deprived","Male",22.36,23,4,5.75,1.38629436111989
"83","ChEsard","Deprived","Male",22.55,19,4,4.75,1.38629436111989
"84","ChEsard","Deprived","Male",22.66,19,4,4.75,1.38629436111989
"85","ChEsard","Deprived","Male",23.13,14,4,3.5,1.38629436111989
"86","ChEsard","Deprived","Female",23.26,18,4,4.5,1.38629436111989
"87","ChEsard","Deprived","Male",23.33,18,4,4.5,1.38629436111989
"88","ChEsard","Deprived","Male",23.58,14,4,3.5,1.38629436111989
"89","ChEsard","Deprived","Male",23.68,14,4,3.5,1.38629436111989
"90","ChEsard","Deprived","Male",23.82,6,4,1.5,1.38629436111989
"91","ChEsard","Deprived","Male",23.93,6,4,1.5,1.38629436111989
"92","ChEsard","Deprived","Male",24.63,12,4,3,1.38629436111989
"93","ChEsard","Deprived","Female",24.66,12,4,3,1.38629436111989
"94","ChEsard","Deprived","Male",24.88,12,4,3,1.38629436111989
"95","ChEsard","Satiated","Female",25.38,19,4,4.75,1.38629436111989
"96","ChEsard","Deprived","Male",25.5,0,4,0,1.38629436111989
"97","ChEsard","Deprived","Male",25.95,17,4,4.25,1.38629436111989
"98","ChEsard","Deprived","Male",26.65,3,4,0.75,1.38629436111989
"99","ChEsard","Deprived","Male",26.85,11,4,2.75,1.38629436111989
"100","ChEsard","Deprived","Male",27.06,2,4,0.5,1.38629436111989
"101","ChEsard","Satiated","Male",27.66,6,4,1.5,1.38629436111989
"102","Chevroux","Satiated","Male",22.35,0,2,0,0.693147180559945
"103","Chevroux","Satiated","Male",23.2,0,2,0,0.693147180559945
"104","Chevroux","Satiated","Female",23.88,0,2,0,0.693147180559945
"105","Chevroux","Satiated","Male",24.01,0,2,0,0.693147180559945
"106","Chevroux","Satiated","Male",24.76,0,2,0,0.693147180559945
"107","Chevroux","Deprived","Male",25.31,17,2,8.5,0.693147180559945
"108","Chevroux","Satiated","Male",25.98,0,2,0,0.693147180559945
"109","Chevroux","Deprived","Male",26.05,5,2,2.5,0.693147180559945
"110","Chevroux","Deprived","Male",27.53,5,2,2.5,0.693147180559945
"111","Chevroux","Deprived","Male",28.31,7,2,3.5,0.693147180559945
"112","CorcellesFavres","Satiated","Male",22.76,2,3,0.66666667,1.09861228866811
"113","CorcellesFavres","Satiated","Male",24.11,9,3,3,1.09861228866811
"114","CorcellesFavres","Deprived","Female",25.15,7,3,2.33333333,1.09861228866811
"115","CorcellesFavres","Satiated","Female",25.38,2,3,0.66666667,1.09861228866811
"116","CorcellesFavres","Satiated","Male",25.63,4,3,1.33333333,1.09861228866811
"117","CorcellesFavres","Satiated","Male",26.03,9,3,3,1.09861228866811
"118","CorcellesFavres","Satiated","Male",26.3,5,3,1.66666667,1.09861228866811
"119","CorcellesFavres","Satiated","Male",26.73,6,3,2,1.09861228866811
"120","CorcellesFavres","Satiated","Male",28.43,3,3,1,1.09861228866811
"121","CorcellesFavres","Satiated","Male",28.86,7,3,2.33333333,1.09861228866811
"122","CorcellesFavres","Deprived","Female",28.98,5,3,1.66666667,1.09861228866811
"123","CorcellesFavres","Satiated","Male",29.11,20,3,6.66666667,1.09861228866811
"124","Etrabloz","Deprived","Male",22.01,4,5,0.8,1.6094379124341
"125","Etrabloz","Deprived","Female",22.15,4,5,0.8,1.6094379124341
"126","Etrabloz","Deprived","Male",22.26,14,5,2.8,1.6094379124341
"127","Etrabloz","Satiated","Female",22.46,0,5,0,1.6094379124341
"128","Etrabloz","Satiated","Female",22.51,0,5,0,1.6094379124341
"129","Etrabloz","Deprived","Female",22.7,9,5,1.8,1.6094379124341
"130","Etrabloz","Deprived","Male",22.85,14,5,2.8,1.6094379124341
"131","Etrabloz","Deprived","Male",23.13,6,5,1.2,1.6094379124341
"132","Etrabloz","Satiated","Male",23.3,2,5,0.4,1.6094379124341
"133","Etrabloz","Deprived","Male",23.31,8,5,1.6,1.6094379124341
"134","Etrabloz","Deprived","Female",23.7,2,5,0.4,1.6094379124341
"135","Etrabloz","Satiated","Male",23.73,0,5,0,1.6094379124341
"136","Etrabloz","Deprived","Male",23.76,5,5,1,1.6094379124341
"137","Etrabloz","Deprived","Female",23.81,5,5,1,1.6094379124341
"138","Etrabloz","Satiated","Male",24.05,0,5,0,1.6094379124341
"139","Etrabloz","Satiated","Female",24.38,0,5,0,1.6094379124341
"140","Etrabloz","Satiated","Female",24.43,0,5,0,1.6094379124341
"141","Etrabloz","Satiated","Female",24.58,0,5,0,1.6094379124341
"142","Etrabloz","Deprived","Female",24.65,0,5,0,1.6094379124341
"143","Etrabloz","Satiated","Female",25.05,0,5,0,1.6094379124341
"144","Etrabloz","Satiated","Female",25.61,0,5,0,1.6094379124341
"145","Etrabloz","Deprived","Female",25.61,1,5,0.2,1.6094379124341
"146","Etrabloz","Satiated","Male",26.28,0,5,0,1.6094379124341
"147","Etrabloz","Deprived","Female",26.33,5,5,1,1.6094379124341
"148","Etrabloz","Deprived","Female",26.48,5,5,1,1.6094379124341
"149","Etrabloz","Deprived","Female",26.85,1,5,0.2,1.6094379124341
"150","Etrabloz","Deprived","Female",27.5,10,5,2,1.6094379124341
"151","Etrabloz","Deprived","Male",27.55,8,5,1.6,1.6094379124341
"152","Etrabloz","Satiated","Female",28.26,2,5,0.4,1.6094379124341
"153","Etrabloz","Deprived","Male",28.35,10,5,2,1.6094379124341
"154","Etrabloz","Deprived","Male",28.7,2,5,0.4,1.6094379124341
"155","Etrabloz","Deprived","Male",28.81,13,5,2.6,1.6094379124341
"156","Etrabloz","Deprived","Male",28.9,13,5,2.6,1.6094379124341
"157","Etrabloz","Deprived","Male",29.25,13,5,2.6,1.6094379124341
"158","Forel","Satiated","Male",23.25,0,4,0,1.38629436111989
"159","Forel","Deprived","Male",23.92,1,4,0.25,1.38629436111989
"160","Forel","Satiated","Male",24.26,0,4,0,1.38629436111989
"161","Forel","Satiated","Male",24.3,0,4,0,1.38629436111989
"162","Franex","Satiated","Male",22.36,0,4,0,1.38629436111989
"163","Franex","Satiated","Male",22.45,0,4,0,1.38629436111989
"164","Franex","Deprived","Female",22.66,19,4,4.75,1.38629436111989
"165","Franex","Deprived","Male",22.68,19,4,4.75,1.38629436111989
"166","Franex","Deprived","Male",22.75,19,4,4.75,1.38629436111989
"167","Franex","Deprived","Female",22.76,8,4,2,1.38629436111989
"168","Franex","Deprived","Female",23.05,9,4,2.25,1.38629436111989
"169","Franex","Deprived","Male",23.48,1,4,0.25,1.38629436111989
"170","Franex","Deprived","Male",23.65,4,4,1,1.38629436111989
"171","Franex","Deprived","Male",23.8,3,4,0.75,1.38629436111989
"172","Franex","Deprived","Male",23.9,3,4,0.75,1.38629436111989
"173","Franex","Deprived","Male",24.05,6,4,1.5,1.38629436111989
"174","Franex","Deprived","Female",24.08,6,4,1.5,1.38629436111989
"175","Franex","Deprived","Male",24.25,6,4,1.5,1.38629436111989
"176","Franex","Satiated","Female",24.58,0,4,0,1.38629436111989
"177","Franex","Satiated","Female",24.68,0,4,0,1.38629436111989
"178","Franex","Satiated","Male",24.73,0,4,0,1.38629436111989
"179","Franex","Satiated","Male",25.11,3,4,0.75,1.38629436111989
"180","Franex","Deprived","Male",25.26,0,4,0,1.38629436111989
"181","Franex","Deprived","Male",26.36,4,4,1,1.38629436111989
"182","Franex","Deprived","Male",26.6,4,4,1,1.38629436111989
"183","Franex","Deprived","Male",26.71,4,4,1,1.38629436111989
"184","Franex","Deprived","Male",26.95,14,4,3.5,1.38629436111989
"185","Franex","Satiated","Male",27.1,5,4,1.25,1.38629436111989
"186","Franex","Deprived","Female",27.25,8,4,2,1.38629436111989
"187","Franex","Deprived","Male",27.38,16,4,4,1.38629436111989
"188","GDLV","Deprived","Male",22.46,6,5,1.2,1.6094379124341
"189","GDLV","Deprived","Female",22.83,9,5,1.8,1.6094379124341
"190","GDLV","Satiated","Male",22.91,1,5,0.2,1.6094379124341
"191","GDLV","Deprived","Male",23.08,11,5,2.2,1.6094379124341
"192","GDLV","Deprived","Male",23.75,11,5,2.2,1.6094379124341
"193","GDLV","Deprived","Male",23.91,12,5,2.4,1.6094379124341
"194","GDLV","Deprived","Male",25.26,12,5,2.4,1.6094379124341
"195","GDLV","Satiated","Male",25.56,2,5,0.4,1.6094379124341
"196","GDLV","Deprived","Female",26.85,9,5,1.8,1.6094379124341
"197","GDLV","Satiated","Male",28.78,0,5,0,1.6094379124341
"198","Gletterens","Deprived","Female",23.15,16,2,8,0.693147180559945
"199","Gletterens","Deprived","Female",23.25,16,2,8,0.693147180559945
"200","Gletterens","Satiated","Female",23.8,3,2,1.5,0.693147180559945
"201","Gletterens","Deprived","Female",24.05,0,2,0,0.693147180559945
"202","Gletterens","Deprived","Female",24.53,0,2,0,0.693147180559945
"203","Gletterens","Deprived","Male",24.55,0,2,0,0.693147180559945
"204","Gletterens","Satiated","Male",24.81,0,2,0,0.693147180559945
"205","Gletterens","Deprived","Female",24.85,5,2,2.5,0.693147180559945
"206","Gletterens","Satiated","Female",25.1,9,2,4.5,0.693147180559945
"207","Gletterens","Deprived","Female",25.8,10,2,5,0.693147180559945
"208","Gletterens","Deprived","Male",26.3,3,2,1.5,0.693147180559945
"209","Gletterens","Deprived","Male",27.23,0,2,0,0.693147180559945
"210","Gletterens","Satiated","Female",27.4,0,2,0,0.693147180559945
"211","Gletterens","Deprived","Male",27.61,0,2,0,0.693147180559945
"212","Gletterens","Deprived","Male",28.78,2,2,1,0.693147180559945
"213","Henniez","Deprived","Female",22.51,6,2,3,0.693147180559945
"214","Henniez","Deprived","Female",22.63,6,2,3,0.693147180559945
"215","Henniez","Satiated","Female",22.68,2,2,1,0.693147180559945
"216","Henniez","Satiated","Female",22.76,17,2,8.5,0.693147180559945
"217","Henniez","Deprived","Female",22.91,3,2,1.5,0.693147180559945
"218","Henniez","Satiated","Female",23.06,0,2,0,0.693147180559945
"219","Henniez","Satiated","Female",23.28,0,2,0,0.693147180559945
"220","Henniez","Deprived","Female",23.81,0,2,0,0.693147180559945
"221","Henniez","Satiated","Female",23.96,0,2,0,0.693147180559945
"222","Henniez","Deprived","Female",25.88,0,2,0,0.693147180559945
"223","Henniez","Deprived","Female",26.78,0,2,0,0.693147180559945
"224","Henniez","Deprived","Female",27.63,0,2,0,0.693147180559945
"225","Henniez","Satiated","Female",28.26,0,2,0,0.693147180559945
"226","Jeuss","Satiated","Male",22.66,3,5,0.6,1.6094379124341
"227","Jeuss","Deprived","Female",23.11,9,5,1.8,1.6094379124341
"228","Jeuss","Satiated","Male",23.16,0,5,0,1.6094379124341
"229","Jeuss","Satiated","Female",23.41,0,5,0,1.6094379124341
"230","Jeuss","Deprived","Male",25.58,12,5,2.4,1.6094379124341
"231","Jeuss","Satiated","Male",25.9,0,5,0,1.6094379124341
"232","Jeuss","Deprived","Male",25.93,2,5,0.4,1.6094379124341
"233","Jeuss","Deprived","Female",26.16,11,5,2.2,1.6094379124341
"234","Jeuss","Deprived","Male",26.33,5,5,1,1.6094379124341
"235","Jeuss","Deprived","Male",26.56,3,5,0.6,1.6094379124341
"236","Jeuss","Satiated","Female",26.6,0,5,0,1.6094379124341
"237","Jeuss","Deprived","Female",26.75,3,5,0.6,1.6094379124341
"238","Jeuss","Deprived","Male",26.83,3,5,0.6,1.6094379124341
"239","Jeuss","Satiated","Female",26.98,0,5,0,1.6094379124341
"240","Jeuss","Satiated","Male",27.48,0,5,0,1.6094379124341
"241","Jeuss","Deprived","Female",27.51,0,5,0,1.6094379124341
"242","Jeuss","Satiated","Female",28,0,5,0,1.6094379124341
"243","Jeuss","Satiated","Male",28.8,0,5,0,1.6094379124341
"244","Jeuss","Deprived","Male",28.98,2,5,0.4,1.6094379124341
"245","LesPlanches","Satiated","Male",21.78,0,3,0,1.09861228866811
"246","LesPlanches","Satiated","Male",21.81,0,3,0,1.09861228866811
"247","LesPlanches","Deprived","Male",22.3,3,3,1,1.09861228866811
"248","LesPlanches","Satiated","Male",22.31,0,3,0,1.09861228866811
"249","LesPlanches","Satiated","Male",22.51,10,3,3.33333333,1.09861228866811
"250","LesPlanches","Deprived","Male",22.63,10,3,3.33333333,1.09861228866811
"251","LesPlanches","Deprived","Male",23.06,10,3,3.33333333,1.09861228866811
"252","LesPlanches","Satiated","Male",23.38,0,3,0,1.09861228866811
"253","LesPlanches","Satiated","Male",23.41,0,3,0,1.09861228866811
"254","LesPlanches","Satiated","Male",23.68,11,3,3.66666667,1.09861228866811
"255","LesPlanches","Deprived","Male",24.03,0,3,0,1.09861228866811
"256","LesPlanches","Satiated","Male",24.43,0,3,0,1.09861228866811
"257","LesPlanches","Deprived","Male",26.55,0,3,0,1.09861228866811
"258","LesPlanches","Deprived","Female",26.76,0,3,0,1.09861228866811
"259","LesPlanches","Deprived","Male",27.45,0,3,0,1.09861228866811
"260","LesPlanches","Deprived","Male",27.6,11,3,3.66666667,1.09861228866811
"261","LesPlanches","Deprived","Male",28.26,6,3,2,1.09861228866811
"262","Lucens","Satiated","Male",22.36,9,4,2.25,1.38629436111989
"263","Lucens","Deprived","Female",22.38,23,4,5.75,1.38629436111989
"264","Lucens","Deprived","Male",22.68,15,4,3.75,1.38629436111989
"265","Lucens","Satiated","Male",22.76,2,4,0.5,1.38629436111989
"266","Lucens","Deprived","Male",22.81,12,4,3,1.38629436111989
"267","Lucens","Deprived","Male",22.9,12,4,3,1.38629436111989
"268","Lucens","Deprived","Male",22.98,12,4,3,1.38629436111989
"269","Lucens","Satiated","Female",23.03,0,4,0,1.38629436111989
"270","Lucens","Deprived","Female",23.38,0,4,0,1.38629436111989
"271","Lucens","Deprived","Female",23.45,0,4,0,1.38629436111989
"272","Lucens","Deprived","Female",23.51,14,4,3.5,1.38629436111989
"273","Lucens","Deprived","Male",23.56,14,4,3.5,1.38629436111989
"274","Lucens","Deprived","Female",23.6,14,4,3.5,1.38629436111989
"275","Lucens","Deprived","Male",24.25,2,4,0.5,1.38629436111989
"276","Lucens","Satiated","Male",25.05,13,4,3.25,1.38629436111989
"277","Lucens","Deprived","Female",25.1,0,4,0,1.38629436111989
"278","Lucens","Deprived","Female",25.36,1,4,0.25,1.38629436111989
"279","Lucens","Satiated","Male",26.2,0,4,0,1.38629436111989
"280","Lucens","Deprived","Male",26.5,4,4,1,1.38629436111989
"281","Lucens","Deprived","Female",26.61,8,4,2,1.38629436111989
"282","Lucens","Deprived","Male",26.81,1,4,0.25,1.38629436111989
"283","Lucens","Satiated","Male",26.85,0,4,0,1.38629436111989
"284","Lucens","Deprived","Male",27.08,4,4,1,1.38629436111989
"285","Lucens","Satiated","Female",27.16,0,4,0,1.38629436111989
"286","Lucens","Deprived","Female",27.53,5,4,1.25,1.38629436111989
"287","Lucens","Deprived","Female",28.03,8,4,2,1.38629436111989
"288","Lucens","Satiated","Female",28.13,9,4,2.25,1.38629436111989
"289","Lucens","Satiated","Male",28.26,7,4,1.75,1.38629436111989
"290","Lucens","Deprived","Male",28.4,7,4,1.75,1.38629436111989
"291","Lully","Deprived","Male",22.31,16,4,4,1.38629436111989
"292","Lully","Deprived","Female",22.51,13,4,3.25,1.38629436111989
"293","Lully","Deprived","Male",22.55,13,4,3.25,1.38629436111989
"294","Lully","Deprived","Male",22.98,15,4,3.75,1.38629436111989
"295","Lully","Deprived","Male",23.01,14,4,3.5,1.38629436111989
"296","Lully","Deprived","Male",23.15,14,4,3.5,1.38629436111989
