"","Nest","FoodTreatment","SexParent","ArrivalTime","SiblingNegotiation","BroodSize","NegPerChick","logBroodSize"
"297","Lully","Satiated","Female",23.25,6,4,1.5,1.38629436111989
"298","Lully","Deprived","Female",23.63,15,4,3.75,1.38629436111989
"299","Lully","Deprived","Male",23.66,15,4,3.75,1.38629436111989
"300","Lully","Satiated","Male",23.7,6,4,1.5,1.38629436111989
"301","Lully","Deprived","Female",24.4,0,4,0,1.38629436111989
"302","Lully","Satiated","Male",24.85,1,4,0.25,1.38629436111989
"303","Lully","Deprived","Female",25.13,0,4,0,1.38629436111989
"304","Lully","Satiated","Male",26.78,9,4,2.25,1.38629436111989
"305","Lully","Satiated","Male",26.93,9,4,2.25,1.38629436111989
"306","Lully","Satiated","Male",27.31,3,4,0.75,1.38629436111989
"307","Lully","Deprived","Male",28.58,2,4,0.5,1.38629436111989
"308","Marnand","Deprived","Male",22.28,12,4,3,1.38629436111989
"309","Marnand","Satiated","Female",22.53,6,4,1.5,1.38629436111989
"310","Marnand","Satiated","Male",22.65,6,4,1.5,1.38629436111989
"311","Marnand","Deprived","Male",22.73,13,4,3.25,1.38629436111989
"312","Marnand","Deprived","Female",22.98,28,4,7,1.38629436111989
"313","Marnand","Satiated","Male",23.35,0,4,0,1.38629436111989
"314","Marnand","Deprived","Female",23.4,6,4,1.5,1.38629436111989
"315","Marnand","Deprived","Male",23.86,0,4,0,1.38629436111989
"316","Marnand","Satiated","Male",24.23,3,4,0.75,1.38629436111989
"317","Marnand","Satiated","Female",24.31,2,4,0.5,1.38629436111989
"318","Marnand","Deprived","Male",24.41,4,4,1,1.38629436111989
"319","Marnand","Deprived","Female",24.48,4,4,1,1.38629436111989
"320","Marnand","Satiated","Female",24.58,8,4,2,1.38629436111989
"321","Marnand","Satiated","Male",24.63,8,4,2,1.38629436111989
"322","Marnand","Deprived","Female",25.13,13,4,3.25,1.38629436111989
"323","Marnand","Deprived","Male",25.53,7,4,1.75,1.38629436111989
"324","Marnand","Deprived","Male",25.58,4,4,1,1.38629436111989
"325","Marnand","Satiated","Female",25.63,0,4,0,1.38629436111989
"326","Marnand","Satiated","Female",25.68,0,4,0,1.38629436111989
"327","Marnand","Satiated","Male",25.86,12,4,3,1.38629436111989
"328","Marnand","Deprived","Male",25.96,4,4,1,1.38629436111989
"329","Marnand","Deprived","Male",26.06,17,4,4.25,1.38629436111989
"330","Marnand","Satiated","Male",26.38,7,4,1.75,1.38629436111989
"331","Marnand","Deprived","Male",26.53,5,4,1.25,1.38629436111989
"332","Marnand","Satiated","Male",26.76,1,4,0.25,1.38629436111989
"333","Marnand","Deprived","Male",27.38,0,4,0,1.38629436111989
"334","Marnand","Deprived","Male",27.46,0,4,0,1.38629436111989
"335","Montet","Satiated","Male",22.7,6,5,1.2,1.6094379124341
"336","Montet","Deprived","Male",22.95,15,5,3,1.6094379124341
"337","Montet","Deprived","Male",23.11,17,5,3.4,1.6094379124341
"338","Montet","Deprived","Male",23.33,10,5,2,1.6094379124341
"339","Montet","Satiated","Female",23.55,2,5,0.4,1.6094379124341
"340","Montet","Deprived","Male",23.6,15,5,3,1.6094379124341
"341","Montet","Satiated","Male",23.63,2,5,0.4,1.6094379124341
"342","Montet","Deprived","Male",23.81,10,5,2,1.6094379124341
"343","Montet","Satiated","Male",24.05,0,5,0,1.6094379124341
"344","Montet","Deprived","Male",24.06,7,5,1.4,1.6094379124341
"345","Montet","Deprived","Male",24.08,7,5,1.4,1.6094379124341
"346","Montet","Deprived","Male",24.2,7,5,1.4,1.6094379124341
"347","Montet","Deprived","Male",24.3,15,5,3,1.6094379124341
"348","Montet","Satiated","Male",24.35,5,5,1,1.6094379124341
"349","Montet","Satiated","Male",24.43,5,5,1,1.6094379124341
"350","Montet","Deprived","Male",24.48,15,5,3,1.6094379124341
"351","Montet","Deprived","Male",24.61,19,5,3.8,1.6094379124341
"352","Montet","Satiated","Male",24.66,0,5,0,1.6094379124341
"353","Montet","Deprived","Male",24.7,19,5,3.8,1.6094379124341
"354","Montet","Satiated","Male",24.81,12,5,2.4,1.6094379124341
"355","Montet","Deprived","Male",24.85,10,5,2,1.6094379124341
"356","Montet","Satiated","Male",24.9,12,5,2.4,1.6094379124341
"357","Montet","Deprived","Male",24.96,10,5,2,1.6094379124341
"358","Montet","Deprived","Male",25.03,20,5,4,1.6094379124341
"359","Montet","Deprived","Male",25.1,20,5,4,1.6094379124341
"360","Montet","Satiated","Female",25.36,7,5,1.4,1.6094379124341
"361","Montet","Satiated","Male",25.38,7,5,1.4,1.6094379124341
"362","Montet","Satiated","Male",25.55,22,5,4.4,1.6094379124341
"363","Montet","Satiated","Male",25.73,22,5,4.4,1.6094379124341
"364","Montet","Deprived","Male",25.9,4,5,0.8,1.6094379124341
"365","Montet","Deprived","Female",26.55,14,5,2.8,1.6094379124341
"366","Montet","Deprived","Male",26.83,4,5,0.8,1.6094379124341
"367","Montet","Satiated","Female",26.91,0,5,0,1.6094379124341
"368","Montet","Satiated","Male",26.93,0,5,0,1.6094379124341
"369","Montet","Deprived","Male",27.23,2,5,0.4,1.6094379124341
"370","Montet","Deprived","Male",27.43,0,5,0,1.6094379124341
"371","Montet","Deprived","Male",27.56,12,5,2.4,1.6094379124341
"372","Montet","Deprived","Male",27.83,4,5,0.8,1.6094379124341
"373","Montet","Satiated","Female",28.3,2,5,0.4,1.6094379124341
"374","Montet","Satiated","Male",28.38,2,5,0.4,1.6094379124341
"375","Montet","Satiated","Female",28.86,1,5,0.2,1.6094379124341
"376","Murist","Deprived","Female",22.23,3,4,0.75,1.38629436111989
"377","Murist","Satiated","Female",22.26,24,4,6,1.38629436111989
"378","Murist","Deprived","Male",22.5,24,4,6,1.38629436111989
"379","Murist","Deprived","Male",22.51,14,4,3.5,1.38629436111989
"380","Murist","Deprived","Male",22.58,14,4,3.5,1.38629436111989
"381","Murist","Satiated","Male",22.6,14,4,3.5,1.38629436111989
"382","Murist","Deprived","Male",22.61,14,4,3.5,1.38629436111989
"383","Murist","Deprived","Female",22.63,14,4,3.5,1.38629436111989
"384","Murist","Deprived","Male",22.66,14,4,3.5,1.38629436111989
"385","Murist","Satiated","Male",22.78,14,4,3.5,1.38629436111989
"386","Murist","Satiated","Male",22.86,14,4,3.5,1.38629436111989
"387","Murist","Satiated","Female",22.93,14,4,3.5,1.38629436111989
"388","Murist","Deprived","Male",23.1,0,4,0,1.38629436111989
"389","Murist","Satiated","Male",23.4,0,4,0,1.38629436111989
"390","Murist","Deprived","Female",23.78,0,4,0,1.38629436111989
"391","Murist","Deprived","Female",23.8,0,4,0,1.38629436111989
"392","Murist","Satiated","Male",25.7,3,4,0.75,1.38629436111989
"393","Murist","Satiated","Male",25.83,0,4,0,1.38629436111989
"394","Murist","Deprived","Male",26.23,6,4,1.5,1.38629436111989
"395","Murist","Satiated","Male",26.41,17,4,4.25,1.38629436111989
"396","Murist","Deprived","Male",27.25,5,4,1.25,1.38629436111989
"397","Murist","Satiated","Male",27.53,0,4,0,1.38629436111989
"398","Murist","Satiated","Male",27.73,0,4,0,1.38629436111989
"399","Murist","Deprived","Male",27.96,3,4,0.75,1.38629436111989
"400","Oleyes","Satiated","Female",21.76,11,5,2.2,1.6094379124341
"401","Oleyes","Satiated","Female",22.13,17,5,3.4,1.6094379124341
"402","Oleyes","Satiated","Female",22.28,17,5,3.4,1.6094379124341
"403","Oleyes","Deprived","Female",22.38,2,5,0.4,1.6094379124341
"404","Oleyes","Satiated","Male",22.4,12,5,2.4,1.6094379124341
"405","Oleyes","Satiated","Female",22.61,12,5,2.4,1.6094379124341
"406","Oleyes","Satiated","Male",22.73,13,5,2.6,1.6094379124341
"407","Oleyes","Satiated","Female",22.85,10,5,2,1.6094379124341
"408","Oleyes","Deprived","Female",22.96,16,5,3.2,1.6094379124341
"409","Oleyes","Satiated","Male",23.08,15,5,3,1.6094379124341
"410","Oleyes","Deprived","Male",23.1,12,5,2.4,1.6094379124341
"411","Oleyes","Deprived","Male",23.43,11,5,2.2,1.6094379124341
"412","Oleyes","Satiated","Male",23.65,0,5,0,1.6094379124341
"413","Oleyes","Satiated","Female",23.65,0,5,0,1.6094379124341
"414","Oleyes","Deprived","Male",23.7,7,5,1.4,1.6094379124341
"415","Oleyes","Deprived","Female",23.83,6,5,1.2,1.6094379124341
"416","Oleyes","Deprived","Male",23.96,6,5,1.2,1.6094379124341
"417","Oleyes","Satiated","Male",24.11,0,5,0,1.6094379124341
"418","Oleyes","Satiated","Female",24.13,0,5,0,1.6094379124341
"419","Oleyes","Deprived","Male",24.2,5,5,1,1.6094379124341
"420","Oleyes","Deprived","Male",24.41,5,5,1,1.6094379124341
"421","Oleyes","Deprived","Male",24.56,7,5,1.4,1.6094379124341
"422","Oleyes","Satiated","Female",24.73,2,5,0.4,1.6094379124341
"423","Oleyes","Satiated","Male",24.9,32,5,6.4,1.6094379124341
"424","Oleyes","Deprived","Male",24.93,6,5,1.2,1.6094379124341
"425","Oleyes","Satiated","Male",25.08,32,5,6.4,1.6094379124341
"426","Oleyes","Satiated","Female",25.16,5,5,1,1.6094379124341
"427","Oleyes","Deprived","Female",25.2,7,5,1.4,1.6094379124341
"428","Oleyes","Deprived","Male",25.2,7,5,1.4,1.6094379124341
"429","Oleyes","Satiated","Male",25.45,5,5,1,1.6094379124341
"430","Oleyes","Satiated","Female",25.51,0,5,0,1.6094379124341
"431","Oleyes","Deprived","Male",25.68,3,5,0.6,1.6094379124341
"432","Oleyes","Satiated","Male",25.76,7,5,1.4,1.6094379124341
"433","Oleyes","Deprived","Female",25.8,14,5,2.8,1.6094379124341
"434","Oleyes","Satiated","Female",26,6,5,1.2,1.6094379124341
"435","Oleyes","Satiated","Male",26,6,5,1.2,1.6094379124341
"436","Oleyes","Deprived","Male",26,14,5,2.8,1.6094379124341
"437","Oleyes","Deprived","Male",26.03,0,5,0,1.6094379124341
"438","Oleyes","Satiated","Female",26.1,0,5,0,1.6094379124341
"439","Oleyes","Satiated","Male",26.28,13,5,2.6,1.6094379124341
"440","Oleyes","Satiated","Female",26.4,13,5,2.6,1.6094379124341
"441","Oleyes","Satiated","Male",26.55,0,5,0,1.6094379124341
"442","Oleyes","Deprived","Female",26.63,4,5,0.8,1.6094379124341
"443","Oleyes","Deprived","Male",26.75,4,5,0.8,1.6094379124341
"444","Oleyes","Satiated","Male",26.8,0,5,0,1.6094379124341
"445","Oleyes","Satiated","Male",26.98,0,5,0,1.6094379124341
"446","Oleyes","Deprived","Male",27.13,10,5,2,1.6094379124341
"447","Oleyes","Deprived","Female",27.31,10,5,2,1.6094379124341
"448","Oleyes","Deprived","Female",27.83,6,5,1.2,1.6094379124341
"449","Oleyes","Deprived","Male",28.03,2,5,0.4,1.6094379124341
"450","Oleyes","Satiated","Female",28.25,0,5,0,1.6094379124341
"451","Oleyes","Deprived","Female",28.86,0,5,0,1.6094379124341
"452","Payerne","Satiated","Male",22.08,6,5,1.2,1.6094379124341
"453","Payerne","Satiated","Female",22.15,6,5,1.2,1.6094379124341
"454","Payerne","Satiated","Female",22.61,8,5,1.6,1.6094379124341
"455","Payerne","Satiated","Male",22.63,8,5,1.6,1.6094379124341
"456","Payerne","Satiated","Female",22.71,8,5,1.6,1.6094379124341
"457","Payerne","Deprived","Male",22.78,8,5,1.6,1.6094379124341
"458","Payerne","Satiated","Male",22.88,7,5,1.4,1.6094379124341
"459","Payerne","Deprived","Female",23.01,15,5,3,1.6094379124341
"460","Payerne","Satiated","Male",23.03,8,5,1.6,1.6094379124341
"461","Payerne","Satiated","Female",23.1,8,5,1.6,1.6094379124341
"462","Payerne","Satiated","Female",23.35,0,5,0,1.6094379124341
"463","Payerne","Satiated","Male",23.43,0,5,0,1.6094379124341
"464","Payerne","Satiated","Male",23.68,1,5,0.2,1.6094379124341
"465","Payerne","Satiated","Male",24.1,8,5,1.6,1.6094379124341
"466","Payerne","Satiated","Male",24.35,5,5,1,1.6094379124341
"467","Payerne","Satiated","Male",24.48,5,5,1,1.6094379124341
"468","Payerne","Satiated","Male",25,7,5,1.4,1.6094379124341
"469","Payerne","Deprived","Male",25.05,10,5,2,1.6094379124341
"470","Payerne","Deprived","Male",25.26,14,5,2.8,1.6094379124341
"471","Payerne","Satiated","Female",25.35,0,5,0,1.6094379124341
"472","Payerne","Deprived","Female",25.36,14,5,2.8,1.6094379124341
"473","Payerne","Satiated","Male",25.51,0,5,0,1.6094379124341
"474","Payerne","Satiated","Male",25.85,0,5,0,1.6094379124341
"475","Payerne","Satiated","Male",26.31,0,5,0,1.6094379124341
"476","Payerne","Satiated","Male",27.53,0,5,0,1.6094379124341
"477","Rueyes","Deprived","Female",22.01,6,4,1.5,1.38629436111989
"478","Rueyes","Satiated","Female",22.06,0,4,0,1.38629436111989
"479","Rueyes","Deprived","Male",22.26,10,4,2.5,1.38629436111989
"480","Rueyes","Satiated","Male",22.35,18,4,4.5,1.38629436111989
"481","Rueyes","Satiated","Male",22.38,18,4,4.5,1.38629436111989
"482","Rueyes","Satiated","Male",22.48,18,4,4.5,1.38629436111989
"483","Rueyes","Satiated","Male",22.5,18,4,4.5,1.38629436111989
"484","Rueyes","Satiated","Male",22.58,11,4,2.75,1.38629436111989
"485","Rueyes","Deprived","Male",22.7,7,4,1.75,1.38629436111989
"486","Rueyes","Satiated","Male",22.95,11,4,2.75,1.38629436111989
"487","Rueyes","Satiated","Male",23.78,9,4,2.25,1.38629436111989
"488","Rueyes","Deprived","Male",24.05,6,4,1.5,1.38629436111989
"489","Rueyes","Deprived","Male",24.31,6,4,1.5,1.38629436111989
"490","Rueyes","Satiated","Female",25.06,0,4,0,1.38629436111989
"491","Rueyes","Satiated","Male",25.33,0,4,0,1.38629436111989
"492","Rueyes","Deprived","Male",25.35,1,4,0.25,1.38629436111989
"493","Rueyes","Deprived","Female",28.2,7,4,1.75,1.38629436111989
"494","Seiry","Satiated","Female",22.13,1,6,0.16666667,1.79175946922805
"495","Seiry","Deprived","Female",22.43,16,6,2.66666667,1.79175946922805
"496","Seiry","Deprived","Male",22.46,16,6,2.66666667,1.79175946922805
"497","Seiry","Satiated","Female",22.83,2,6,0.33333333,1.79175946922805
"498","Seiry","Satiated","Male",22.85,2,6,0.33333333,1.79175946922805
"499","Seiry","Satiated","Female",23.03,26,6,4.33333333,1.79175946922805
"500","Seiry","Satiated","Male",23.35,1,6,0.16666667,1.79175946922805
"501","Seiry","Satiated","Male",23.55,8,6,1.33333333,1.79175946922805
"502","Seiry","Satiated","Female",23.6,8,6,1.33333333,1.79175946922805
"503","Seiry","Deprived","Male",23.81,13,6,2.16666667,1.79175946922805
"504","Seiry","Satiated","Male",24.01,2,6,0.33333333,1.79175946922805
"505","Seiry","Deprived","Female",24.23,15,6,2.5,1.79175946922805
"506","Seiry","Deprived","Male",24.43,8,6,1.33333333,1.79175946922805
"507","Seiry","Satiated","Female",24.45,0,6,0,1.79175946922805
"508","Seiry","Satiated","Male",24.55,10,6,1.66666667,1.79175946922805
"509","Seiry","Deprived","Male",24.93,6,6,1,1.79175946922805
"510","Seiry","Satiated","Male",24.95,7,6,1.16666667,1.79175946922805
"511","Seiry","Satiated","Male",25.8,2,6,0.33333333,1.79175946922805
"512","Seiry","Satiated","Male",26,2,6,0.33333333,1.79175946922805
"513","Seiry","Deprived","Male",26.01,17,6,2.83333333,1.79175946922805
"514","Seiry","Satiated","Male",26.16,11,6,1.83333333,1.79175946922805
"515","Seiry","Deprived","Male",26.33,13,6,2.16666667,1.79175946922805
"516","Seiry","Deprived","Female",27.1,4,6,0.66666667,1.79175946922805
"517","Seiry","Satiated","Male",27.11,0,6,0,1.79175946922805
"518","Seiry","Satiated","Female",27.4,6,6,1,1.79175946922805
"519","Seiry","Satiated","Female",27.63,26,6,4.33333333,1.79175946922805
"520","Sevaz","Deprived","Male",22.86,6,1,6,0
"521","Sevaz","Satiated","Female",23.85,3,1,3,0
"522","Sevaz","Satiated","Male",26,6,1,6,0
"523","Sevaz","Satiated","Male",27.96,1,1,1,0
"524","StAubin","Satiated","Female",22.51,2,4,0.5,1.38629436111989
"525","StAubin","Satiated","Male",22.51,2,4,0.5,1.38629436111989
"526","StAubin","Deprived","Female",22.55,12,4,3,1.38629436111989
"527","StAubin","Satiated","Female",23.03,0,4,0,1.38629436111989
"528","StAubin","Deprived","Female",23.03,1,4,0.25,1.38629436111989
"529","StAubin","Deprived","Male",23.3,2,4,0.5,1.38629436111989
"530","StAubin","Satiated","Female",23.35,6,4,1.5,1.38629436111989
"531","StAubin","Satiated","Female",23.61,1,4,0.25,1.38629436111989
"532","StAubin","Deprived","Female",23.66,9,4,2.25,1.38629436111989
"533","StAubin","Deprived","Female",23.85,8,4,2,1.38629436111989
"534","StAubin","Deprived","Female",24.06,6,4,1.5,1.38629436111989
"535","StAubin","Satiated","Female",24.38,0,4,0,1.38629436111989
"536","StAubin","Deprived","Female",24.38,0,4,0,1.38629436111989
"537","StAubin","Deprived","Female",25.11,4,4,1,1.38629436111989
"538","StAubin","Satiated","Female",25.3,0,4,0,1.38629436111989
"539","StAubin","Deprived","Female",25.36,3,4,0.75,1.38629436111989
"540","StAubin","Satiated","Female",26.16,5,4,1.25,1.38629436111989
"541","StAubin","Satiated","Female",26.83,0,4,0,1.38629436111989
"542","StAubin","Deprived","Male",27.25,0,4,0,1.38629436111989
"543","StAubin","Deprived","Female",27.43,1,4,0.25,1.38629436111989
"544","StAubin","Satiated","Female",27.43,9,4,2.25,1.38629436111989
"545","StAubin","Deprived","Female",27.71,12,4,3,1.38629436111989
"546","StAubin","Deprived","Female",27.91,8,4,2,1.38629436111989
"547","Trey","Deprived","Female",22.05,16,5,3.2,1.6094379124341
"548","Trey","Satiated","Female",22.43,1,5,0.2,1.6094379124341
"549","Trey","Satiated","Male",22.73,12,5,2.4,1.6094379124341
"550","Trey","Satiated","Female",22.9,25,5,5,1.6094379124341
"551","Trey","Satiated","Male",23.2,16,5,3.2,1.6094379124341
"552","Trey","Satiated","Female",23.45,20,5,4,1.6094379124341
"553","Trey","Satiated","Male",23.73,23,5,4.6,1.6094379124341
"554","Trey","Satiated","Female",24.15,2,5,0.4,1.6094379124341
"555","Trey","Satiated","Female",24.36,11,5,2.2,1.6094379124341
"556","Trey","Satiated","Female",24.5,11,5,2.2,1.6094379124341
"557","Trey","Satiated","Male",24.6,3,5,0.6,1.6094379124341
"558","Trey","Satiated","Male",24.93,18,5,3.6,1.6094379124341
"559","Trey","Satiated","Female",25.28,5,5,1,1.6094379124341
"560","Trey","Satiated","Female",25.8,1,5,0.2,1.6094379124341
"561","Trey","Satiated","Male",25.86,1,5,0.2,1.6094379124341
"562","Trey","Satiated","Female",26.1,8,5,1.6,1.6094379124341
"563","Trey","Satiated","Male",27.66,0,5,0,1.6094379124341
"564","Trey","Satiated","Female",27.76,11,5,2.2,1.6094379124341
"565","Trey","Satiated","Female",27.93,11,5,2.2,1.6094379124341
"566","Yvonnand","Satiated","Female",21.71,10,7,1.42857143,1.94591014905531
"567","Yvonnand","Satiated","Female",21.73,10,7,1.42857143,1.94591014905531
"568","Yvonnand","Satiated","Female",21.91,17,7,2.42857143,1.94591014905531
"569","Yvonnand","Satiated","Male",21.93,17,7,2.42857143,1.94591014905531
"570","Yvonnand","Satiated","Female",21.95,17,7,2.42857143,1.94591014905531
"571","Yvonnand","Deprived","Male",21.96,6,7,0.85714286,1.94591014905531
"572","Yvonnand","Deprived","Female",22.18,19,7,2.71428571,1.94591014905531
"573","Yvonnand","Satiated","Male",22.28,4,7,0.57142857,1.94591014905531
"574","Yvonnand","Deprived","Male",22.3,31,7,4.42857143,1.94591014905531
"575","Yvonnand","Deprived","Male",22.5,31,7,4.42857143,1.94591014905531
"576","Yvonnand","Satiated","Male",22.56,10,7,1.42857143,1.94591014905531
"577","Yvonnand","Deprived","Female",22.6,23,7,3.28571429,1.94591014905531
"578","Yvonnand","Deprived","Male",22.6,23,7,3.28571429,1.94591014905531
"579","Yvonnand","Deprived","Male",22.9,15,7,2.14285714,1.94591014905531
"580","Yvonnand","Satiated","Male",23.25,0,7,0,1.94591014905531
"581","Yvonnand","Satiated","Female",23.46,6,7,0.85714286,1.94591014905531
"582","Yvonnand","Satiated","Female",23.53,1,7,0.14285714,1.94591014905531
"583","Yvonnand","Satiated","Female",23.63,1,7,0.14285714,1.94591014905531
"584","Yvonnand","Deprived","Male",24,9,7,1.28571429,1.94591014905531
"585","Yvonnand","Deprived","Male",24.31,6,7,0.85714286,1.94591014905531
"586","Yvonnand","Deprived","Male",24.56,8,7,1.14285714,1.94591014905531
"587","Yvonnand","Deprived","Male",24.73,10,7,1.42857143,1.94591014905531
"588","Yvonnand","Satiated","Male",25.25,4,7,0.57142857,1.94591014905531
"589","Yvonnand","Satiated","Female",25.41,11,7,1.57142857,1.94591014905531
"590","Yvonnand","Satiated","Female",25.56,9,7,1.28571429,1.94591014905531
"591","Yvonnand","Satiated","Female",25.76,14,7,2,1.94591014905531
"592","Yvonnand","Deprived","Male",26.15,13,7,1.85714286,1.94591014905531
"593","Yvonnand","Deprived","Male",26.76,22,7,3.14285714,1.94591014905531
"594","Yvonnand","Deprived","Male",27.23,7,7,1,1.94591014905531
"595","Yvonnand","Deprived","Female",27.25,7,7,1,1.94591014905531
"596","Yvonnand","Deprived","Male",28.45,5,7,0.71428571,1.94591014905531
"597","Yvonnand","Deprived","Female",28.86,15,7,2.14285714,1.94591014905531
"598","Yvonnand","Deprived","Male",29.21,10,7,1.42857143,1.94591014905531
"599","Yvonnand","Satiated","Female",29.23,0,7,0,1.94591014905531
