,Unnamed: 0,rownames,distcod,county,district,grspan,enrltot,teachers,calwpct,mealpct,computer,testscr,compstu,expnstu,str,avginc,elpct,readscr,mathscr
7,8,8,63834,Kern,Vineland Elementary,KK-08,888,42.5,18.8062992095947,100.0,66,609.0,0.0743243247270584,4565.74609375,20.8941173553467,8.17399978637695,46.9594612121582,605.5,612.5
16,17,17,63594,Kern,Lost Hills Union Elementary,KK-08,491,28.9200000762939,11.2016000747681,97.7596969604492,100,618.050048828125,0.203665986657143,6723.23779296875,16.9778690338135,6.21600008010864,85.5397186279297,611.700012207031,624.400024414063
17,18,18,63370,Kern,Buttonwillow Union Elementary,KK-08,421,25.5,8.55109977722168,77.9096984863281,50,618.300048828125,0.118764847517014,5589.88525390625,16.5098037719727,7.76399993896484,58.9073638916016,614.900024414062,621.700012207031
18,19,19,64709,Los Angeles,Lennox Elementary,KK-08,6880,303.029998779297,21.2824001312256,94.9711990356445,960,619.799987792969,0.139534890651703,5064.61572265625,22.7040233612061,7.02199983596802,77.0058135986328,619.099975585937,620.5
19,20,20,63560,Kern,Lamont Elementary,KK-08,2688,135.0,23.4375,93.2292022705078,139,620.299987792969,0.0517113097012043,5433.59326171875,19.911111831665,5.69899988174438,49.8139877319336,621.299987792969,619.299987792969
22,23,23,63842,Kern,Wasco Union Elementary,KK-08,2538,130.5,18.9111003875732,70.8167037963867,169,621.75,0.0665878653526306,5107.08642578125,19.4482765197754,7.40500020980835,45.0748634338379,622.900024414062,620.599975585937
27,28,28,63313,Kern,Arvin Union Elementary,KK-08,2601,135.0,15.0711002349854,92.1952972412109,269,623.450012207031,0.10342176258564,5223.912109375,19.2666664123535,7.30499982833862,70.0115356445312,616.5,630.400024414062
30,31,31,68379,San Diego,San Ysidro Elementary,KK-08,4142,201.0,35.5625,81.5065002441406,569,624.550048828125,0.137373253703117,5342.2333984375,20.6069660186768,6.61299991607666,80.4200897216797,620.400024414062,628.700012207031
32,33,33,64816,Los Angeles,Mountain View Elementary,KK-08,10012,464.899993896484,29.7639007568359,91.5933990478516,721,625.299987792969,0.0720135867595673,5036.458984375,21.5358142852783,8.12661552429199,65.1218566894531,620.799987792969,629.799987792969
35,36,36,64758,Los Angeles,Los Nietos Elementary,KK-08,2267,103.680000305176,19.1516990661621,84.4337997436523,177,626.800048828125,0.0780767500400543,5272.19189453125,21.8653545379639,11.3325004577637,35.4653701782227,625.400024414062,628.200012207031
39,40,40,63578,Kern,Richland-Lerdo Union Elementary,KK-08,2471,121.860000610352,23.7959995269775,87.7781982421875,275,627.299987792969,0.111290976405144,5119.158203125,20.2773666381836,9.70899963378906,53.0554428100586,627.5,627.099975585938
42,43,43,63461,Kern,Fairfax Elementary,KK-08,1217,61.4000015258789,33.9080009460449,88.0951995849609,78,628.550048828125,0.0640920326113701,5485.49609375,19.8208465576172,8.17399978637695,30.3204593658447,629.400024414062,627.700012207031
43,44,44,63404,Kern,Delano Union Elementary,KK-08,6219,268.0,21.4986000061035,100.0,571,628.650024414062,0.0918154045939445,4793.3701171875,23.2052230834961,7.5,52.2431259155273,621.099975585937,636.200012207031
45,46,46,65078,Los Angeles,Valle Lindo Elementary,KK-08,1235,53.0,8.21829986572266,62.130199432373,175,629.800048828125,0.141700401902199,4359.52099609375,23.301887512207,7.33199977874756,30.2833995819092,630.200012207031,629.400024414062
47,48,48,63438,Kern,Edison Elementary,KK-08,814,39.0,19.7789001464844,67.4447021484375,85,630.400024414062,0.104422606527805,4518.01611328125,20.8717956542969,15.1770000457764,13.7592134475708,631.900024414062,628.900024414063
48,49,49,63321,Kern,Bakersfield City Elementary,KK-08,27176,1429.0,39.2183990478516,84.2949981689453,3324,630.549987792969,0.122313804924488,5864.3662109375,19.0174942016602,12.1091279983521,28.8637046813965,631.599975585937,629.5
50,51,51,64592,Los Angeles,Hawthorne Elementary,KK-08,8935,444.5,36.9450988769531,79.5120010375977,786,631.050048828125,0.0879686623811722,5016.6923828125,20.1012382507324,14.0620002746582,44.0850601196289,628.400024414063,633.700012207031
54,55,55,65110,Los Angeles,Whittier City Elementary,KK-08,7151,318.579986572266,18.5480995178223,61.7382011413574,560,631.950012207031,0.0783107280731201,5245.43994140625,22.4464817047119,15.404070854187,31.0725784301758,634.200012207031,629.700012207031
55,56,56,64477,Los Angeles,Eastside Union Elementary,KK-08,2404,105.0,20.9274005889893,52.9435005187988,202,632.0,0.0840266197919846,4838.17529296875,22.8952388763428,13.7620000839233,18.2612323760986,633.5,630.5
56,57,57,64691,Los Angeles,Lawndale Elementary,KK-08,5804,283.149993896484,28.3425006866455,81.1165008544922,480,632.200012207031,0.0827015861868858,5367.98828125,20.4979705810547,14.1840000152588,34.7002067565918,631.400024414062,633.0
65,66,66,63339,Kern,Beardsley Elementary,KK-08,1639,90.5,46.8881988525391,80.6042022705078,287,634.0,0.175106778740883,5693.88330078125,18.1104965209961,13.3900003433228,7.32153749465942,638.400024414062,629.599975585938
66,67,67,65037,Los Angeles,South Whittier Elementary,KK-08,4340,209.839996337891,17.702600479126,93.9226989746094,284,634.050048828125,0.0654377862811089,5181.57958984375,20.6824245452881,14.6016254425049,31.1981563568115,631.900024414062,636.200012207031
68,69,69,68221,San Diego,National Elementary,KK-06,6639,304.730010986328,26.8414001464844,100.0,505,634.099975585937,0.0760656744241714,5339.39111328125,21.7864990234375,8.42300033569336,58.0810356140137,631.5,636.700012207031
69,70,70,70904,Sonoma,Roseland Elementary,KK-06,1154,62.0999984741211,22.9277000427246,84.9206008911133,129,634.150024414062,0.111785098910332,6056.4970703125,18.5829315185547,11.664999961853,55.8925437927246,636.799987792969,631.5
70,71,71,63420,Kern,Di Giorgio Elementary,KK-08,237,11.0,19.8311996459961,76.7931976318359,13,634.199951171875,0.0548523217439651,4845.68017578125,21.5454540252686,7.30499982833862,5.48523235321045,631.799987792969,636.599975585937
71,72,72,64642,Los Angeles,Keppel Union Elementary,KK-08,2987,141.210006713867,21.2588005065918,68.3964004516602,273,634.400024414062,0.0913960486650467,4826.666015625,21.1528911590576,13.7305994033813,14.4291934967041,637.700012207031,631.099975585938
87,88,88,64501,Los Angeles,El Monte City Elementary,KK-08,11629,546.299987792969,25.3794002532959,83.8737030029297,1015,636.900024414063,0.0872817933559418,5100.2021484375,21.2868385314941,9.42889499664307,59.0334548950195,632.400024414063,641.400024414062
88,89,89,63503,Kern,Greenfield Union Elementary,KK-08,6195,306.75,21.0433006286621,68.5718994140625,1261,636.950012207031,0.20355124771595,4825.72265625,20.1955986022949,8.92033290863037,13.5593223571777,636.200012207031,637.700012207031
96,97,97,65151,Los Angeles,Wilsona Elementary,KK-08,1841,95.0,25.257999420166,64.7473983764648,315,638.200012207031,0.171102657914162,6107.1064453125,19.3789482116699,13.7620000839233,19.3916358947754,640.400024414062,636.0
99,100,100,64717,Los Angeles,Little Lake City Elementary,KK-08,5112,246.899993896484,10.6912002563477,59.7234992980957,383,638.349975585938,0.0749217495322227,5157.78466796875,20.7047386169434,11.5692005157471,28.6776218414307,638.599975585937,638.099975585937
100,101,101,63719,Kern,Pond Union Elementary,KK-08,146,7.65999984741211,13.6985998153687,66.4384002685547,28,638.549987792969,0.19178082048893,5131.119140625,19.0600528717041,7.40500020980835,13.6986303329468,637.5,639.599975585938
101,102,102,63800,Kern,Taft City Elementary,KK-08,2141,105.819999694824,26.4965000152588,65.3827972412109,134,638.700012207031,0.0625875741243362,5279.35400390625,20.2324695587158,12.0769996643066,11.3498363494873,636.900024414063,640.5
106,107,107,64857,Los Angeles,Palmdale Elementary,KK-08,19402,846.380004882813,20.5237007141113,51.2420997619629,1182,639.75,0.0609215535223484,4906.22998046875,22.9235095977783,14.127667427063,18.4362449645996,641.700012207031,637.799987792969
108,109,109,63792,Kern,Standard Elementary,KK-08,2621,136.830001831055,25.8297996520996,64.0977020263672,397,639.849975585937,0.151468902826309,5718.55126953125,19.1551551818848,13.3900003433228,2.02212882041931,641.400024414062,638.299987792969
111,112,112,64667,Los Angeles,Lancaster Elementary,KK-08,13668,648.409973144531,28.1753005981445,56.2994003295898,1321,640.150024414062,0.0966491103172302,5159.21875,21.0792560577393,14.2267274856567,9.89903450012207,640.400024414062,639.900024414062
117,118,118,68395,San Diego,South Bay Union Elementary,KK-06,10218,508.75,17.4202003479004,70.806396484375,1435,641.449951171875,0.140438437461853,5518.7021484375,20.0845203399658,10.6024703979492,41.1332931518555,638.599975585937,644.299987792969
126,127,127,70615,Sonoma,Bellevue Union Elementary,KK-06,1469,78.0999984741211,20.9666004180908,80.2586975097656,65,643.25,0.0442477874457836,6538.41796875,18.8092193603516,14.0342502593994,43.4989776611328,639.400024414062,647.099975585937
127,128,128,64550,Los Angeles,Garvey Elementary,KK-08,7114,332.839996337891,34.5942001342773,82.5721969604492,680,643.400024414063,0.0955861657857895,4925.65966796875,21.3736324310303,10.2396669387817,45.0379524230957,638.900024414063,647.900024414062
131,132,132,63487,Kern,General Shafter Elementary,KK-08,224,10.0,7.14289999008179,58.035701751709,31,643.699951171875,0.138392850756645,4741.95703125,22.3999996185303,13.1920003890991,7.5892858505249,633.599975585937,653.799987792969
145,146,146,68205,San Diego,Lemon Grove Elementary,KK-08,4612,232.970001220703,17.4761009216309,65.9150009155273,601,645.550048828125,0.130312234163284,5124.83642578125,19.7965393066406,12.8269996643066,16.6522121429443,647.700012207031,643.400024414063
159,160,160,68023,San Diego,Chula Vista Elementary,KK-06,21338,1051.57995605469,13.2271995544434,45.9949989318848,2889,647.25,0.135392263531685,5123.47412109375,20.2913722991943,14.2982997894287,34.3377990722656,645.0,649.5
163,164,164,68098,San Diego,Escondido Union Elementary,KK-08,18255,903.760009765625,11.2216997146606,58.5331001281738,2001,648.0,0.109613806009293,5081.169921875,20.1989459991455,15.2937994003296,39.5946311950684,645.0,651.0
164,165,165,64485,Los Angeles,East Whittier City Elementary,KK-08,8787,410.910003662109,10.0227003097534,32.4830017089844,1058,648.200012207031,0.120405144989491,5144.99365234375,21.3842449188232,15.5329284667969,21.6683731079102,648.0,648.400024414062
165,166,166,73544,Kern,Rio Bravo-Greeley Union Elementary,KK-08,797,38.0,7.02629995346069,35.7591018676758,60,648.25,0.0752823054790497,4674.298828125,20.9736843109131,16.2929992675781,3.2622332572937,648.799987792969,647.700012207031
167,168,168,68437,San Diego,Vallecitos Elementary,KK-08,235,13.6999998092651,6.80849981307983,67.234001159668,51,648.700012207031,0.217021271586418,5621.68798828125,17.153284072876,16.6229991912842,39.5744667053223,643.400024414063,654.0
170,171,171,71001,Sonoma,West Side Union Elementary,KK-06,150,8.25,3.22580003738403,23.2257995605469,16,649.300048828125,0.106666669249535,5132.78857421875,18.1818180084229,18.326000213623,14.0,655.200012207031,643.400024414063
179,180,180,70821,Sonoma,Montgomery Elementary,KK-08,92,5.59999990463257,13.5417003631592,0.0,22,650.900024414062,0.239130437374115,6113.85986328125,16.4285717010498,22.5289993286133,0.0,656.099975585938,645.700012207031
180,181,181,70912,Sonoma,Santa Rosa Elementary,KK-06,4971,297.140014648437,14.709400177002,55.1007995605469,500,651.150024414063,0.100583381950855,5850.0,16.7294864654541,18.2983894348145,31.8245830535889,653.299987792969,649.0
186,187,187,70813,Sonoma,Monte Rio Union Elementary,KK-08,181,10.0,25.414400100708,66.8507995605469,26,651.849975585937,0.143646404147148,6049.4951171875,18.1000003814697,14.4750003814697,0.0,651.900024414062,651.799987792969
191,192,192,70649,Sonoma,Cinnabar Elementary,KK-06,287,16.1700000762939,3.79310011863708,31.0345001220703,65,652.299987792969,0.226480841636658,5973.92529296875,17.7489185333252,17.1560001373291,14.9825782775879,655.099975585937,649.5
196,197,197,63784,Kern,South Fork Union Elementary,KK-08,382,22.0,29.2383003234863,59.2137985229492,75,652.5,0.196335077285767,5247.01806640625,17.3636360168457,11.5539999008179,0.0,653.099975585937,651.900024414062
197,198,198,68155,San Diego,Jamul-Dulzura Union Elementary,KK-08,1221,61.5999984741211,4.34070014953613,25.3071002960205,250,652.849975585937,0.204750210046768,5169.81494140625,19.8214282989502,19.0259990692139,7.28910732269287,656.799987792969,648.900024414062
200,201,201,63552,Kern,Lakeside Union Elementary,KK-08,793,39.7999992370605,4.41359996795654,30.7691993713379,49,653.5,0.0617906674742699,4944.09228515625,19.9246234893799,19.068000793457,2.26986122131348,652.400024414063,654.599975585938
207,208,208,64931,Los Angeles,Rosemead Elementary,KK-08,3272,150.0,24.0219993591309,76.7725982666016,374,654.099975585937,0.114303179085255,4825.5908203125,21.8133335113525,9.98600006103516,31.2041549682617,651.400024414062,656.799987792969
210,211,211,63545,Kern,Kernville Union Elementary,KK-08,1129,61.9900016784668,34.1894989013672,62.2675018310547,164,654.299987792969,0.145261287689209,5805.63671875,18.2126140594482,11.2910003662109,0.0,655.099975585937,653.5
213,214,214,68189,San Diego,Lakeside Union Elementary,KK-08,4928,229.199996948242,8.54199981689453,25.888500213623,618,654.849975585938,0.125405848026276,5139.9375,21.5008735656738,14.6230001449585,5.92532444000244,653.5,656.200012207031
234,235,235,67991,San Diego,Cajon Valley Union Elementary,KK-08,19294,924.570007324219,18.9319000244141,50.9707984924316,2401,657.0,0.124442830681801,5280.0234375,20.8680782318115,15.6846542358398,16.6632118225098,657.599975585937,656.400024414062
239,240,240,70722,Sonoma,Guerneville Elementary,KK-08,511,27.2000007629395,27.4853992462158,51.8518981933594,30,657.550048828125,0.0587084144353867,5774.97021484375,18.7867641448975,13.4370002746582,3.91389417648315,664.200012207031,650.900024414062
244,245,245,65169,Los Angeles,Wiseburn Elementary,KK-08,1712,81.2799987792969,5.3737998008728,32.6519012451172,122,658.0,0.0712616816163063,5179.4111328125,21.0629920959473,14.0620002746582,9.87149524688721,657.0,659.0
250,251,251,64345,Los Angeles,Castaic Union Elementary,KK-08,2295,103.0,4.03950023651123,31.3708992004395,224,659.349975585937,0.0976034849882126,4631.24365234375,22.2815532684326,14.6029996871948,13.9869289398193,658.299987792969,660.400024414062
255,256,256,70599,Sonoma,Alexander Valley Union Elementary,KK-06,119,7.0,4.0,33.5999984741211,23,660.050048828125,0.193277314305305,5990.79443359375,17.0,18.326000213623,28.5714302062988,661.700012207031,658.400024414063
260,261,261,65102,Los Angeles,Westside Union Elementary,KK-08,6312,308.679992675781,9.83790016174316,22.693000793457,496,660.949951171875,0.0785804837942123,4708.625,20.4483604431152,16.9866256713867,3.12103939056396,662.099975585937,659.799987792969
264,265,265,70730,Sonoma,Harmony Union Elementary,KK-08,564,27.4300003051758,6.89659976959229,21.3792991638184,46,661.599975585937,0.0815602838993073,4905.22119140625,20.5614280700684,18.3689994812012,4.43262434005737,672.400024414063,650.799987792969
265,266,266,63362,Kern,Panama Buena Vista Union Elementary,KK-08,12380,620.380004882813,12.2952003479004,31.0188999176025,1671,661.849975585937,0.134975761175156,5156.85693359375,19.9555110931396,16.6541118621826,4.81421661376953,660.099975585937,663.599975585938
273,274,274,64626,Los Angeles,Hughes-Elizabeth Lakes Union Elementary,KK-08,433,22.0,9.33609962463379,25.1037006378174,50,662.450012207031,0.115473441779613,5743.59716796875,19.6818180084229,15.5059995651245,1.38568139076233,665.400024414062,659.5
275,276,276,65045,Los Angeles,Sulphur Springs Union Elementary,KK-06,5010,239.399993896484,5.29890012741089,27.3544998168945,576,662.550048828125,0.114970058202744,4802.15283203125,20.927318572998,19.8231258392334,9.64071846008301,661.700012207031,663.400024414062
276,277,277,70680,Sonoma,Forestville Union Elementary,KK-08,717,35.9500007629395,8.88889980316162,24.7222003936768,100,662.550048828125,0.139470010995865,5442.14306640625,19.9443664550781,16.3470001220703,2.23152017593384,669.400024414062,655.700012207031
277,278,278,63750,Kern,Rosedale Union Elementary,KK-08,3548,170.649993896484,3.25999999046326,14.8508996963501,335,662.650024414062,0.09441938996315,4522.37548828125,20.7910938262939,16.2929992675781,0.366403609514236,658.299987792969,667.0
281,282,282,70870,Sonoma,Piner-Olivet Union Elementary,KK-06,1792,88.5500030517578,3.125,20.9263000488281,143,663.349975585938,0.0797991082072258,5072.70458984375,20.237154006958,15.7709999084473,5.52455377578735,667.400024414063,659.299987792969
285,286,286,71035,Sonoma,Wright Elementary,KK-06,1252,65.1100006103516,9.45119953155518,43.2164993286133,113,663.849975585937,0.0902555882930756,5284.1640625,19.2289962768555,12.5842504501343,20.766773223877,659.400024414062,668.299987792969
287,288,288,70847,Sonoma,Old Adobe Union Elementary,KK-06,2231,114.300003051758,2.916100025177,13.3691997528076,258,664.0,0.115643210709095,5599.60791015625,19.5188102722168,16.9559993743896,13.6261758804321,666.200012207031,661.799987792969
288,289,289,71019,Sonoma,Wilmar Union Elementary,KK-06,271,14.1999998092651,4.46740007400513,25.4295997619629,81,664.0,0.298892974853516,4881.8994140625,19.0845069885254,17.7089996337891,13.2841329574585,668.700012207031,659.299987792969
300,301,301,70854,Sonoma,Petaluma City Elementary,KK-06,2569,138.0,5.48640012741089,24.7471008300781,326,665.349975585937,0.126897618174553,5400.0,18.6159420013428,17.3694458007812,15.3367071151733,669.799987792969,660.900024414062
303,304,304,68197,San Diego,La Mesa-Spring Valley,KK-08,14708,700.940002441406,13.5300998687744,45.7234001159668,1962,665.950012207031,0.133396789431572,4969.51123046875,20.9832515716553,18.3198757171631,12.6801748275757,664.5,667.400024414063
308,309,309,70714,Sonoma,Gravenstein Union Elementary,KK-08,573,29.6000003814697,6.99300003051758,15.2097997665405,48,666.150024414063,0.0837696343660355,5302.6279296875,19.3581085205078,17.507999420166,3.31588125228882,671.0,661.299987792969
311,312,312,68361,San Diego,Santee Elementary,KK-08,8432,360.5,6.39230012893677,22.9839000701904,0,666.599975585937,0.0,5397.689453125,23.3897361755371,14.0976667404175,4.96916532516479,663.700012207031,669.5
316,317,317,70805,Sonoma,Mark West Union Elementary,KK-06,1588,83.4000015258789,6.79850006103516,20.5809993743896,220,666.849975585938,0.138539046049118,5301.71630859375,19.0407676696777,18.6709995269775,3.84131002426147,671.299987792969,662.400024414063
317,318,318,67967,San Diego,Alpine Union Elementary,KK-08,2272,108.75,4.04930019378662,16.0650997161865,307,667.150024414062,0.135123237967491,5182.36572265625,20.8919544219971,17.3320007324219,1.32042253017426,667.700012207031,666.599975585937
318,319,319,70938,Sonoma,Sebastopol Union Elementary,KK-08,1425,71.8300018310547,5.09259986877441,19.8302001953125,65,667.199951171875,0.0456140339374542,4999.46875,19.8385066986084,17.507999420166,4.91228055953979,669.799987792969,664.599975585938
320,321,321,63693,Kern,Norris Elementary,KK-08,1349,65.2125015258789,2.00149989128113,8.67310047149658,259,667.450012207031,0.191994071006775,4612.98974609375,20.6862182617187,15.56725025177,0.222386956214905,667.0,667.900024414062
323,324,324,63610,Kern,Maple Elementary,KK-08,224,9.0,5.35710000991821,35.2678985595703,15,668.099975585937,0.0669642835855484,4742.51416015625,24.8888893127441,9.70899963378906,4.4642858505249,660.5,675.700012207031
325,326,326,68163,San Diego,Julian Union Elementary,KK-08,451,25.0,8.64750003814697,11.7517004013062,75,668.599975585938,0.166297122836113,5700.40234375,18.0400009155273,16.3209991455078,3.99113082885742,672.700012207031,664.5
326,327,327,68007,San Diego,Cardiff Elementary,KK-06,900,50.75,2.10179996490479,24.3362998962402,145,668.650024414063,0.161111116409302,5191.83447265625,17.7339897155762,21.9669990539551,20.6666660308838,668.799987792969,668.5
328,329,329,67975,San Diego,Bonsall Union Elementary,KK-08,1457,73.129997253418,5.9822998046875,42.9640007019043,0,668.900024414062,0.0,5627.52783203125,19.9234256744385,19.9969997406006,27.4536724090576,666.200012207031,671.599975585937
330,331,331,64766,Los Angeles,Lowell Joint Elementary,KK-08,3303,146.5,4.66239976882935,16.9542999267578,379,669.099975585937,0.114744171500206,4969.380859375,22.5460758209229,18.1186656951904,5.02573394775391,666.099975585938,672.099975585937
331,332,332,64832,Los Angeles,Newhall Elementary,KK-06,6055,286.920013427734,5.61339998245239,30.0851001739502,540,669.300048828125,0.0891824960708618,4829.71728515625,21.103443145752,23.6673755645752,14.2361688613892,668.900024414062,669.700012207031
336,337,337,68049,San Diego,Dehesa Elementary,KK-06,188,9.0,6.38299989700317,36.7020988464355,41,669.849975585938,0.218085110187531,6002.07177734375,20.8888893127441,18.798999786377,4.78723430633545,673.200012207031,666.5
338,339,339,63479,Kern,Fruitvale Elementary,KK-08,2596,135.350006103516,3.00460004806519,19.5300006866455,249,670.0,0.0959167927503586,5112.39013671875,19.1799030303955,15.5190000534058,1.57935285568237,669.200012207031,670.799987792969
346,347,347,64998,Los Angeles,Saugus Union Elementary,KK-06,8529,407.700012207031,2.19250011444092,11.7012996673584,834,671.75,0.0977840274572372,4715.44580078125,20.9197940826416,20.7390556335449,3.70500636100769,668.900024414062,674.599975585937
349,350,350,70672,Sonoma,Dunham Elementary,KK-06,155,8.0,0.64520001411438,12.2580995559692,32,671.949951171875,0.206451609730721,5695.466796875,19.375,17.7089996337891,4.51612901687622,672.299987792969,671.599975585937
356,357,357,70995,Sonoma,Waugh Elementary,KK-06,734,36.0,2.02430009841919,12.8205003738403,117,672.699951171875,0.159400537610054,4920.77734375,20.3888893127441,16.9559993743896,6.53950929641724,676.099975585938,669.299987792969
357,358,358,70979,Sonoma,Two Rock Union Elementary,KK-06,189,11.6000003814697,2.07249999046326,32.1244010925293,50,673.049987792969,0.264550268650055,6905.869140625,16.2931022644043,17.7089996337891,14.2857151031494,679.099975585937,667.0
361,362,362,68353,San Diego,San Pasqual Union Elementary,KK-08,379,23.1000003814697,2.90240001678467,22.1636009216309,29,673.549987792969,0.0765171498060226,5133.8271484375,16.406925201416,15.1800003051758,22.6912937164307,670.5,676.599975585937
364,365,365,70961,Sonoma,Twin Hills Union Elementary,KK-08,878,47.9000015258789,1.375,15.75,105,675.400024414062,0.119589976966381,5329.7822265625,18.3298530578613,17.507999420166,2.73348522186279,681.0,669.799987792969
374,375,375,70698,Sonoma,Fort Ross Elementary,KK-08,81,5.09999990463257,3.61450004577637,0.0,14,678.400024414063,0.172839507460594,7667.57177734375,15.8823528289795,22.5289993286133,0.0,685.299987792969,671.5
375,376,376,68080,San Diego,Encinitas Union Elementary,KK-06,5259,262.230010986328,2.39590001106262,19.091100692749,701,678.799987792969,0.133295297622681,5281.708984375,20.0549125671387,23.8060989379883,15.0598974227905,679.0,678.599975585938
378,379,379,64600,Los Angeles,Hermosa Beach City Elementary,KK-08,946,49.1699981689453,2.17840003967285,6.53529977798462,310,679.650024414062,0.327695548534393,5387.458984375,19.2393741607666,33.4550018310547,1.47991538047791,683.099975585937,676.200012207031
379,380,380,70896,Sonoma,Rincon Valley Union Elementary,KK-06,2707,141.020004272461,5.13959980010986,19.2308006286621,300,679.75,0.110823787748814,5235.77490234375,19.195858001709,20.4802227020264,4.46989297866821,678.700012207031,680.799987792969
381,382,382,70623,Sonoma,Bennett Valley Union Elementary,KK-06,945,46.0,4.2399001121521,10.65149974823,216,680.050048828125,0.228571429848671,5088.7080078125,20.543478012085,19.3465003967285,2.53968262672424,685.700012207031,674.400024414063
383,384,384,70789,Sonoma,Kenwood Elementary,KK-06,164,10.5100002288818,2.35290002822876,12.9412002563477,35,681.299987792969,0.213414639234543,6588.4306640625,15.6041860580444,22.8633346557617,11.5853662490845,682.799987792969,679.799987792969
384,385,385,70797,Sonoma,Liberty Elementary,KK-06,167,10.9200000762939,0.520799994468689,11.4582996368408,29,681.299987792969,0.173652693629265,6196.69482421875,15.2930402755737,17.7089996337891,11.3772449493408,680.799987792969,681.799987792969
388,389,389,70839,Sonoma,Oak Grove Union Elementary,KK-08,600,32.0,2.69409990310669,29.3185005187988,55,682.450012207031,0.0916666686534882,4841.95849609375,18.75,16.0639991760254,5.33333349227905,680.0,684.900024414063
402,403,403,68387,San Diego,Solana Beach Elementary,KK-06,2542,146.300003051758,0.826099991798401,9.67739963531494,404,691.349975585937,0.158929973840714,6604.06396484375,17.3752555847168,27.9477500915527,10.3855228424072,687.700012207031,695.0
407,408,408,68056,San Diego,Del Mar Union Elementary,KK-06,2106,115.300003051758,1.70940005779266,2.61159992218018,300,695.199951171875,0.142450138926506,5838.171875,18.2653942108154,38.6285705566406,2.42165231704712,695.099975585937,695.299987792969
